"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OTTMUSG00000016609",138.363650486583,19.6607963552822,4.16144291293658,2.42367478039094e-08,1.35846971440912e-06
"Grem1",288.884798593862,9.06318906660081,1.06529011256674,2.54526031195558e-16,3.56654601212775e-14
"Slco4a1",52.5623045215459,8.81765215163479,1.08855545730425,6.57126778358503e-15,6.12345940588439e-13
"Il1rn",51.4007222347693,8.59036351975123,1.21819730022064,5.48195046394608e-12,4.09684431338904e-10
"Bub1",83.8448144067837,6.94039820886966,1.41476914940354,1.03568159930823e-06,4.1464252600876e-05
"AA467197",28.2760649306515,6.85229654946605,1.20188841464694,5.72158741807238e-08,3.05423785507578e-06
"Lcn2",1972.18362288527,6.65045800590569,0.425444111357874,2.37619920785842e-41,8.87906437336431e-39
"Syt13",81.3959029047038,6.02859545456956,0.663679474707858,3.36656968597387e-15,3.43084056179701e-13
"Mmp9",93.8408126264666,5.68913439010493,0.614687737658267,2.54596745440057e-15,2.85402951638303e-13
"Casc5",56.85967033855,5.46911763679632,1.07483165482584,2.58803656976244e-06,9.35867417646355e-05
"Mcm10",58.7942174206693,5.43815807535537,0.536377449167572,1.51601091011831e-17,2.42778318606089e-15
"Ly75",18.367692471665,4.7201831406703,0.982672371756661,1.25478379053061e-05,0.000413709596819064
"Fam83d",33.2372103072549,4.56462621110064,0.826425527382882,1.69650604018187e-06,6.55787334842717e-05
"Slpi",33.7755583877968,4.56105579443839,0.768527911000465,4.10157080571846e-07,1.70291143452237e-05
"Ckap2l",170.095118300403,4.27349655749185,0.300188101577946,1.74803165813603e-28,3.91908697754099e-26
"Wfdc12",8.13512688900783,4.23175337307271,1.44040249129551,0.000452096922271185,0.0110174054318695
"Tpx2",321.247583143668,3.94151185691889,0.258900196954758,1.06890329074796e-30,2.99560147232115e-28
"Zbp1",1583.01949658061,3.71481017129877,0.123724908646812,1.72873121588166e-107,1.93790769300334e-104
"Knstrn",178.422526199328,3.67335360947122,0.255713358838184,2.19082503752016e-26,4.09319144510017e-24
"Ncaph",116.880324099383,3.64626428891923,0.336657722676282,5.57822406409314e-16,6.9479879731649e-14
"Ube2c",104.793047979091,3.57076969293731,0.512433630683816,6.04844376550026e-08,3.08195702778445e-06
"Pdyn",16.8112031355451,3.37644818354541,0.664315936906718,2.81575253221506e-05,0.000901845311032308
"Gad2",14.112539010553,3.31849836465838,0.992598243738806,0.000650360903268391,0.0155117994162525
"Spc25",71.905525702083,3.23676344367005,0.367725833252927,1.31928384677957e-10,9.24323245149934e-09
"Slc2a6",15.4376014736317,3.2121344650314,0.812431026336324,0.000325028721839649,0.0084734231902848
"Mastl",66.3788024112015,3.18046330401092,0.454187693986983,1.55474022948194e-07,7.26193248853854e-06
"Lrrn4",20.8409434359082,3.16674530577949,1.20933202539741,0.00153357126853245,0.0358152790005181
"Mybl2",88.8345529737303,2.99249477730383,0.417599689986691,1.68625607567863e-07,7.28489687943548e-06
"Bdnf",16.511004573505,2.87374228963006,0.678326246930478,0.000332696176443621,0.00847619122257499
"Bub1b",292.29748337789,2.70605397632821,0.252005253708557,1.17656741103471e-12,9.42094334121363e-11
"Dok5",50.7966903767308,2.61352381502919,0.328225213161411,7.78022340793464e-08,3.79201323491075e-06
"Rad51",89.5599918029936,2.34875250418269,0.324667440220447,3.05853161974843e-06,0.000103897392295091
"Cdca7",107.699360255973,2.28185708474085,0.26770836246809,1.68962817899485e-07,7.28489687943548e-06
"Gpr176",509.249087029745,2.27447975342087,0.170116169063336,7.10124641181955e-15,6.12345940588439e-13
"Nnat",244.152255644367,2.24375242276562,0.206006170694863,1.65885977521144e-10,1.09387165177178e-08
"Arhgap11a",129.026824037073,2.10513803527972,0.203412967007598,6.580680663657e-09,3.88260159155763e-07
"B2m",50604.4996174123,2.03002823206705,0.0674339672666862,1.53395385326944e-53,8.59781134757519e-51
"Nusap1",104.373748139465,1.96414864390313,0.288814103414796,9.93625628313434e-05,0.00293119560352463
"Phf19",97.3158763607293,1.80661537465672,0.257525374010133,0.000232152297027205,0.00650606812418743
"Aurka",182.482316362987,1.7597560744134,0.243005361405888,0.0002484034827468,0.00663000724188482
"Dsn1",91.9260484586519,1.7117830446299,0.237388218908749,0.000392730533951819,0.00978335396799975
"Rtn4rl2",452.432624145084,1.67126409041894,0.156446214979653,3.04940702586086e-06,0.000103897392295091
"Ada",126.277268274314,1.65130581753145,0.205175479612624,0.00023797653724495,0.00650662678662413
"Rbl1",307.981864538029,1.61691354320228,0.187513177488771,0.000166887857530926,0.00479695611005559
"Nek6",1051.20704808964,1.31123048260662,0.0813285287856623,3.19221079417876e-05,0.000994018972298443
"Cd44",3569.2649642548,1.30074903537827,0.0841097427892115,8.6613479597834e-05,0.00262415434132897
"Gsn",924059.48416493,-1.39555498306405,0.0885182749011896,1.76373783022066e-06,6.59050035892453e-05
"Edn3",307.328913110449,-1.94943203409754,0.169213123512776,2.80557084506078e-09,1.74724717628507e-07
